iter_num	obj	reduced_cost
0	158229647872.00	465896866700.00
1	106093610995.23	360300539000.00
2	85710004829.92	334545347257.87
3	78697218780.78	297750664693.13
4	71465839335.39	270024338166.00
5	70213533269.70	197343967783.35
6	65117876847.02	292111937448.43
7	62852535646.05	231968527965.38
8	59154105264.82	299815724705.42
9	56928335688.43	223481888047.24
10	52128985724.45	216491814173.43
11	45039415890.64	238420550021.06
12	41527582750.03	292067016571.11
13	39456209528.69	205442174525.00
14	36312496785.17	209337953824.89
15	33431593075.14	229753271594.16
16	31819127649.77	238118820788.60
17	27130723913.53	231758928801.21
18	26887456770.71	203718330652.01
19	26084646189.61	164677014172.10
20	23969088726.18	183152366947.54
21	22082315282.85	155565845772.53
22	20584616784.62	192177481422.90
23	19261407468.95	165323799596.37
24	18237787269.47	128852609777.78
25	17649106608.11	140647052779.05
26	17133427794.89	137659305285.25
27	16586203059.12	156875815147.92
28	15902748581.39	136321764163.06
29	14864433705.83	149930055557.95
30	14570620604.77	148569486436.08
31	14210660279.13	159016267315.68
32	13768111274.49	181413416433.76
33	13649578282.09	120608763179.84
34	13023107608.25	158469385284.94
35	12319476979.63	184382103043.52
36	12081435135.17	123052963167.06
37	11107764967.65	231795401331.54
38	10848318498.31	152130867210.28
39	10607148550.26	134518480048.42
40	10422525244.23	137163282510.04
41	10067373156.54	146025878145.66
42	9933001718.67	166903555088.94
43	9854337962.53	95476593509.08
44	9718985052.15	130088749682.26
45	9632679709.30	127982353742.82
46	9567324978.97	103950992019.71
47	9449315873.41	93170689744.32
48	9302605167.14	93447108539.18
49	9192443630.96	92226612093.72
50	9113949279.76	108841113965.90
51	8875515330.62	131925365030.96
52	8677380044.30	119625385282.24
53	8195295052.07	165829681471.77
54	8154725069.57	132987086529.40
55	7895824088.46	104071546839.09
56	7782693264.97	92310528503.28
57	7711014865.29	94654522803.95
58	7566768802.80	95495006900.54
59	7276521497.42	100576210721.45
60	7206975638.09	69704550370.17
61	6963514371.26	95355365641.78
62	6553110997.84	87681900652.66
63	6489479231.82	108694006265.36
64	6427396710.05	82043999989.51
65	6352075882.47	77842872591.91
66	6173720159.37	104431398912.39
67	6000466243.03	75146157376.52
68	5898438690.10	106031488711.86
69	5799400595.15	81383676776.87
70	5720214715.69	52065641866.26
71	5313329529.85	103521396706.79
72	5066240998.05	72474814463.89
73	4805234924.20	60563057263.79
74	4716447380.14	68260491306.13
75	4606872449.63	58451938785.04
76	4448986276.93	67945723273.10
77	4177286698.26	78757456693.89
78	4031969464.44	53101695500.28
79	3926065793.27	66735880754.55
80	3881711666.69	55023100352.71
81	3866827013.73	62553752425.17
82	3610271888.86	78293603100.18
83	3349136906.01	78562843830.14
84	2903081543.18	80456395579.01
85	2674864036.92	86542972176.91
86	2454053393.23	61582118792.16
87	2330879445.23	65355374885.27
88	2201916408.08	55174337853.09
89	1986523707.02	64081706681.42
90	1903448969.57	57842025308.42
91	1682209491.14	52459396818.78
92	1551677830.27	57433522562.69
93	1397645729.44	62684237941.05
94	1164470789.17	62496288799.96
95	1113554647.81	46343568464.11
96	880775306.39	72180168174.68
97	786748219.81	34275581451.11
98	536658492.88	57502848028.39
99	421363354.89	44267301844.12
100	381909956.29	44251586413.79
101	357360763.21	32822033004.70
102	253272913.97	44679377717.60
103	115935891.94	23703858111.04
104	27760740.77	36427761181.93
105	4465828.10	3556945.47
106	4448941.49	2587096.29
107	4397537.54	3399269.82
108	4347603.05	2773707.44
109	4311698.68	2004238.21
110	4267788.72	2610778.46
111	4244672.77	2062249.20
112	4224969.39	2730173.92
113	4206590.94	2357422.80
114	4193133.29	2004526.46
115	4161814.72	2478781.12
116	4143352.17	2213798.02
117	4128587.16	1802143.95
118	4111512.06	2399804.52
119	4095430.99	3513317.03
120	4086489.23	2172046.84
121	4077169.41	2059766.63
122	4069806.41	1977400.77
123	4062400.61	2206152.87
124	4060321.05	1928599.77
125	4054801.09	2100765.87
126	4046977.92	2280449.17
127	4042454.98	1441106.84
128	4040097.95	1568884.13
129	4036958.78	1799175.78
130	4026464.95	1973302.71
131	4021626.72	1112273.42
132	4007166.09	1562457.41
133	3991197.03	1366238.30
134	3981250.39	1523118.51
135	3972502.51	1344288.93
136	3965757.73	1463583.46
137	3961442.15	1385975.17
138	3940670.39	1545444.52
139	3933566.54	1363629.42
140	3930286.00	1636841.42
141	3923786.38	1253336.07
142	3919447.75	1317877.82
143	3916866.79	993798.47
144	3902905.33	1539002.02
145	3885571.79	1686475.29
146	3881004.51	1369402.53
147	3870535.95	975871.63
148	3852076.25	863652.08
149	3836876.79	1153871.72
150	3808948.00	804162.04
151	3799800.60	1063703.16
152	3798348.20	705727.92
153	3784501.17	1046562.29
154	3768727.23	824993.54
155	3751448.48	902646.03
156	3743184.45	758490.31
157	3739486.45	688046.42
158	3736727.34	779052.29
159	3734519.13	822167.15
160	3733323.54	551397.05
161	3729771.33	769687.34
162	3714089.25	1001611.99
163	3708363.72	945991.51
