var_name	value
lam[371]	0.000332
lam[390]	0.004015
lam[391]	0.000332
lam[394]	0.027011
lam[396]	0.211045
lam[404]	0.001547
lam[410]	0.110034
lam[413]	0.157187
lam[418]	0.000485
lam[425]	0.141152
lam[427]	0.005788
lam[428]	0.053749
lam[433]	0.013051
lam[434]	0.005946
lam[435]	0.002464
lam[436]	0.004673
lam[437]	0.060681
lam[438]	0.025404
lam[440]	0.041045
lam[441]	0.017393
lam[442]	0.023526
lam[443]	0.050349
lam[444]	0.022776
lam[445]	0.020013
s_0	48700.401280
s_1	40106.946380
s_2	48700.401280
s_3	4016.361856
s_4	40106.946380
s_5	22021.213204
s_6	39706.780616
s_7	22021.213204
s_8	17665.753964
s_9	4317.653460
s_10	17665.753964
s_12	2697.341056
s_13	4016.361856
s_16	3252.583886
s_17	35327.449399
s_19	3304.125639
s_20	2257.106629
s_21	4083.234963
s_22	2697.341056
s_23	2405.175481
s_24	19.649788
s_25	67.718640
s_26	904.999108
s_27	156.682419
s_29	1287.613565
s_30	4217.653460
s_31	1104.999108
s_34	39706.780616
s_36	40590.540561
s_37	40490.540561
s_40	1168.671346
s_42	104.751271
s_43	1120.602494
s_44	7876.389512
s_46	3986.707864
s_49	27913.917136
s_50	1287.613565
s_53	35275.907646
s_54	27817.390037
s_55	29789.531620
s_56	7876.389512
s_59	29741.462768
s_61	3970.694552
s_62	3203.339533
s_63	4089.462539
s_64	808.932040
s_67	3136.502694
s_68	927.700027
s_70	48.068852
s_71	51.931148
s_72	2555.754795
s_75	2655.754795
